Index,Start_Time,End_Time,Length,MOSI,MISO,Frequency,Error
2622,22.982367s,22.982402s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04,1.6065 MHz,-
2623,22.982408s,22.982473s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00,1.5811 MHz,-
2624,22.987479s,22.987500s,5,80 D4 00 18 00,00 00 00 01 94,1.5565 MHz,-
2625,22.987505s,22.987540s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04,1.6130 MHz,-
2626,22.987546s,22.987607s,13,88 D4 00 24 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 00 00 01 00 00,1.5842 MHz,-
2627,22.987612s,22.987633s,5,00 D4 00 18 40,00 00 00 01 00,1.5610 MHz,-
2628,22.987638s,22.987659s,5,00 D4 00 00 20,00 00 00 01 00,1.5656 MHz,-
2629,22.987665s,22.987685s,5,80 D4 00 00 00,00 00 00 01 81,1.5811 MHz,-
2630,22.987691s,22.987711s,5,00 D4 00 00 02,00 00 00 01 00,1.5889 MHz,-
2631,22.987717s,22.987737s,5,80 D4 00 00 00,00 00 00 01 A1,1.5595 MHz,-
2632,22.987743s,22.987763s,5,80 D4 00 18 00,00 00 00 01 04,1.5921 MHz,-
2633,22.987769s,22.987790s,5,00 D4 00 18 40,00 00 00 01 00,1.5671 MHz,-
2634,22.992795s,22.992816s,5,80 D4 00 18 00,00 00 00 01 44,1.5826 MHz,-
2635,22.992821s,22.992857s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5445 MHz,-
2636,22.992863s,22.992990s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5641 MHz,-
2637,22.997996s,22.998016s,5,80 D4 00 18 00,00 00 00 01 84,1.5610 MHz,-
2638,23.003022s,23.003043s,5,80 D4 00 18 00,00 00 00 01 84,1.5534 MHz,-
2639,23.003048s,23.003069s,5,00 D4 00 18 20,00 00 00 01 00,1.5671 MHz,-
2640,23.008075s,23.008095s,5,80 D4 00 18 00,00 00 00 01 94,1.5400 MHz,-
2641,23.008101s,23.008136s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04,1.5905 MHz,-
2642,23.008142s,23.008208s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00,1.5580 MHz,-
2643,23.013214s,23.013234s,5,80 D4 00 18 00,00 00 00 01 94,1.5718 MHz,-
2644,23.013240s,23.013276s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04,1.5842 MHz,-
2645,23.013281s,23.013403s,25,94 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF,1.5905 MHz,-
2646,23.013408s,23.013429s,5,00 D4 00 18 40,00 00 00 01 00,1.5842 MHz,-
2647,23.013434s,23.013455s,5,00 D4 00 00 20,00 00 00 01 00,1.5489 MHz,-
2648,23.013461s,23.013481s,5,80 D4 00 00 00,00 00 00 01 81,1.6017 MHz,-
2649,23.013487s,23.013507s,5,00 D4 00 00 02,00 00 00 01 00,1.5889 MHz,-
2650,23.013513s,23.013533s,5,80 D4 00 00 00,00 00 00 01 A1,1.5445 MHz,-
2651,23.013538s,23.013559s,5,80 D4 00 18 00,00 00 00 01 04,1.5937 MHz,-
2652,23.013564s,23.013585s,5,00 D4 00 18 40,00 00 00 01 00,1.5565 MHz,-
2653,23.018590s,23.018611s,5,80 D4 00 18 00,00 00 00 01 44,1.5268 MHz,-
2654,23.018616s,23.018652s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.5858 MHz,-
2655,23.018658s,23.018784s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5874 MHz,-
2656,23.023790s,23.023811s,5,80 D4 00 18 00,00 00 00 01 84,1.5297 MHz,-
2657,23.028817s,23.028837s,5,80 D4 00 18 00,00 00 00 01 84,1.5595 MHz,-
2658,23.028843s,23.028863s,5,00 D4 00 18 20,00 00 00 01 00,1.5953 MHz,-
2659,23.033869s,23.033890s,5,80 D4 00 18 00,00 00 00 01 94,1.5459 MHz,-
2660,23.033895s,23.033931s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04,1.5811 MHz,-
2661,23.033937s,23.034002s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00,1.5764 MHz,-
2662,23.039008s,23.039029s,5,80 D4 00 18 00,00 00 00 01 94,1.5474 MHz,-
2663,23.039035s,23.039070s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04,1.6065 MHz,-
2664,23.039076s,23.039177s,21,90 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18,1.5969 MHz,-
2665,23.039183s,23.039203s,5,00 D4 00 18 40,00 00 00 01 00,1.5842 MHz,-
2666,23.039209s,23.039229s,5,00 D4 00 00 20,00 00 00 01 00,1.5687 MHz,-
2667,23.039235s,23.039255s,5,80 D4 00 00 00,00 00 00 01 81,1.6310 MHz,-
2668,23.039261s,23.039281s,5,00 D4 00 00 02,00 00 00 01 00,1.6033 MHz,-
2669,23.039287s,23.039307s,5,80 D4 00 00 00,00 00 00 01 A1,1.6310 MHz,-
2670,23.039312s,23.039333s,5,80 D4 00 18 00,00 00 00 01 04,1.5921 MHz,-
2671,23.039338s,23.039359s,5,00 D4 00 18 40,00 00 00 01 00,1.5702 MHz,-
2672,23.044364s,23.044385s,5,80 D4 00 18 00,00 00 00 01 44,1.5489 MHz,-
2673,23.044391s,23.044426s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,1.6146 MHz,-
2674,23.044431s,23.044769s,68,3F D4 00 24 80 02 00 00 00 41 00 00 01 82 00 00 00 07 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 0B DF 3F 61 98 04 A9 2F DB 40 57 19 2D C4 3D D7 48 EA 77 8A DC 52 BC 49 8C E8 05 24 C0 14 B8 11,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,1.5565 MHz,-
2675,23.044774s,23.044795s,5,00 D4 00 24 19,00 00 00 01 00,1.5580 MHz,-
2676,23.049801s,23.049821s,5,80 D4 00 18 00,00 00 00 01 84,1.5459 MHz,-
2677,23.054827s,23.054847s,5,80 D4 00 18 00,00 00 00 01 84,1.5459 MHz,-
2678,23.054853s,23.054873s,5,00 D4 00 18 20,00 00 00 01 00,1.5595 MHz,-
2679,23.059879s,23.059899s,5,80 D4 00 18 00,00 00 00 01 94,1.5921 MHz,-
2680,23.059905s,23.059941s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04,1.5795 MHz,-
2681,23.059946s,23.060012s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00,1.5595 MHz,-
2682,23.065018s,23.065039s,5,80 D4 00 18 00,00 00 00 01 94,1.5370 MHz,-
2683,23.065045s,23.065080s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04,1.5610 MHz,-
2684,23.065086s,23.065146s,13,88 D4 00 24 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 00 00 01 00 00,1.6097 MHz,-
2685,23.065152s,23.065172s,5,00 D4 00 18 40,00 00 00 01 00,1.5687 MHz,-
2686,23.065177s,23.065198s,5,00 D4 00 00 20,00 00 00 01 00,1.6344 MHz,-
2687,60.050142s,60.050189s,5,80 D4 00 00 00,00 00 00 01 81,638.98 KHz,-
2688,60.050202s,60.050247s,5,00 D4 00 00 02,00 00 00 01 00,718.78 KHz,-
2689,60.050260s,60.050305s,5,80 D4 00 00 00,00 00 00 01 A1,719.75 KHz,-
2690,60.050318s,60.050363s,5,80 D4 00 18 00,00 00 00 01 44,714.93 KHz,-
2691,60.050377s,60.050455s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,719.43 KHz,-
2692,60.050468s,60.050748s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,719.43 KHz,-
2693,60.055761s,60.055806s,5,80 D4 00 18 00,00 00 00 01 84,688.77 KHz,-
2694,60.060820s,60.060865s,5,80 D4 00 18 00,00 00 00 01 84,714.93 KHz,-
2695,60.060877s,60.060923s,5,00 D4 00 18 20,00 00 00 01 00,713.02 KHz,-
2696,60.065937s,60.065982s,5,80 D4 00 18 00,00 00 00 01 94,706.10 KHz,-
2697,60.065995s,60.066073s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04,717.49 KHz,-
2698,60.066086s,60.066233s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00,713.02 KHz,-
2699,60.071246s,60.071291s,5,80 D4 00 18 00,00 00 00 01 94,700.53 KHz,-
2700,60.071304s,60.071383s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04,716.53 KHz,-
2701,60.071396s,60.071665s,25,94 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF,711.75 KHz,-
2702,60.071677s,60.071723s,5,00 D4 00 18 40,00 00 00 01 00,711.12 KHz,-
2703,60.071736s,60.071781s,5,00 D4 00 00 20,00 00 00 01 00,714.29 KHz,-
2704,60.071796s,60.071841s,5,80 D4 00 00 00,00 00 00 01 81,711.43 KHz,-
2705,60.071854s,60.071899s,5,00 D4 00 00 02,00 00 00 01 00,711.12 KHz,-
2706,60.071911s,60.071956s,5,80 D4 00 00 00,00 00 00 01 A1,710.80 KHz,-
2707,60.071969s,60.072014s,5,80 D4 00 18 00,00 00 00 01 44,714.29 KHz,-
2708,60.072027s,60.072106s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,711.75 KHz,-
2709,60.072118s,60.072401s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,711.12 KHz,-
2710,60.077414s,60.077459s,5,80 D4 00 18 00,00 00 00 01 84,705.16 KHz,-
2711,60.082472s,60.082517s,5,80 D4 00 18 00,00 00 00 01 84,715.57 KHz,-
2712,60.082530s,60.082575s,5,00 D4 00 18 20,00 00 00 01 00,711.75 KHz,-
2713,60.087588s,60.087634s,5,80 D4 00 18 00,00 00 00 01 94,701.14 KHz,-
2714,60.087646s,60.087725s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04,711.75 KHz,-
2715,60.087738s,60.087884s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00,711.12 KHz,-
2716,60.092897s,60.092943s,5,80 D4 00 18 00,00 00 00 01 94,701.14 KHz,-
2717,60.092955s,60.093034s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04,711.43 KHz,-
2718,60.093047s,60.093271s,21,90 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18,711.12 KHz,-
2719,60.093284s,60.093329s,5,00 D4 00 18 40,00 00 00 01 00,711.75 KHz,-
2720,60.093341s,60.093387s,5,00 D4 00 00 20,00 00 00 01 00,714.29 KHz,-
2721,60.093403s,60.093448s,5,80 D4 00 00 00,00 00 00 01 81,714.93 KHz,-
2722,60.093461s,60.093506s,5,00 D4 00 00 02,00 00 00 01 00,712.38 KHz,-
2723,60.093518s,60.093563s,5,80 D4 00 00 00,00 00 00 01 A1,712.38 KHz,-
2724,60.093576s,60.093620s,5,80 D4 00 18 00,00 00 00 01 44,719.11 KHz,-
2725,60.093633s,60.093712s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,714.29 KHz,-
2726,60.093724s,60.094352s,57,34 D4 00 24 80 02 00 00 00 35 00 00 01 82 00 00 00 09 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 04 A8 E5 91 04 8A 83 D3 BB 8F 6D 22 3F C1 82 9F 20 A3 15 05 74,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,714.29 KHz,-
2727,60.099365s,60.099410s,5,80 D4 00 18 00,00 00 00 01 84,705.47 KHz,-
2728,60.104423s,60.104468s,5,80 D4 00 18 00,00 00 00 01 84,718.78 KHz,-
2729,60.104480s,60.104526s,5,00 D4 00 18 20,00 00 00 01 00,714.29 KHz,-
2730,60.109539s,60.109584s,5,80 D4 00 18 00,00 00 00 01 94,705.47 KHz,-
2731,60.109596s,60.109675s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04,713.34 KHz,-
2732,60.109687s,60.109833s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00,714.29 KHz,-
2733,60.114846s,60.114891s,5,80 D4 00 18 00,00 00 00 01 94,720.73 KHz,-
2734,60.114904s,60.114982s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04,714.29 KHz,-
2735,60.114995s,60.115130s,13,88 D4 00 24 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 00 00 01 00 00,712.38 KHz,-
2736,60.115142s,60.115187s,5,00 D4 00 18 40,00 00 00 01 00,714.29 KHz,-
2737,60.115200s,60.115245s,5,00 D4 00 00 20,00 00 00 01 00,714.29 KHz,-
2738,60.115259s,60.115304s,5,80 D4 00 00 00,00 00 00 01 81,716.53 KHz,-
2739,60.115316s,60.115361s,5,00 D4 00 00 02,00 00 00 01 00,711.75 KHz,-
2740,60.115374s,60.115419s,5,80 D4 00 00 00,00 00 00 01 A1,711.12 KHz,-
2741,60.115432s,60.115477s,5,80 D4 00 18 00,00 00 00 01 44,714.29 KHz,-
2742,60.115489s,60.115569s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,711.75 KHz,-
2743,60.115581s,60.115864s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,711.12 KHz,-
2744,60.120879s,60.120924s,5,80 D4 00 18 00,00 00 00 01 84,693.85 KHz,-
2745,60.125937s,60.125982s,5,80 D4 00 18 00,00 00 00 01 84,714.29 KHz,-
2746,60.125995s,60.126040s,5,00 D4 00 18 20,00 00 00 01 00,711.75 KHz,-
2747,60.131053s,60.131098s,5,80 D4 00 18 00,00 00 00 01 94,701.76 KHz,-
2748,60.131111s,60.131190s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04,711.43 KHz,-
2749,60.131202s,60.131348s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00,711.75 KHz,-
2750,60.136361s,60.136407s,5,80 D4 00 18 00,00 00 00 01 94,698.09 KHz,-
2751,60.136419s,60.136498s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04,716.21 KHz,-
2752,60.136511s,60.136780s,25,94 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF,711.43 KHz,-
2753,60.136793s,60.136838s,5,00 D4 00 18 40,00 00 00 01 00,711.43 KHz,-
2754,60.136850s,60.136895s,5,00 D4 00 00 20,00 00 00 01 00,714.29 KHz,-
2755,60.136910s,60.136955s,5,80 D4 00 00 00,00 00 00 01 81,711.12 KHz,-
2756,60.136968s,60.137013s,5,00 D4 00 00 02,00 00 00 01 00,710.80 KHz,-
2757,60.137026s,60.137071s,5,80 D4 00 00 00,00 00 00 01 A1,710.80 KHz,-
2758,60.137083s,60.137129s,5,80 D4 00 18 00,00 00 00 01 44,711.12 KHz,-
2759,60.137141s,60.137220s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,711.12 KHz,-
2760,60.137233s,60.137514s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,711.75 KHz,-
2761,60.142527s,60.142572s,5,80 D4 00 18 00,00 00 00 01 84,702.99 KHz,-
2762,60.147586s,60.147631s,5,80 D4 00 18 00,00 00 00 01 84,714.93 KHz,-
2763,60.147643s,60.147688s,5,00 D4 00 18 20,00 00 00 01 00,711.43 KHz,-
2764,60.152701s,60.152746s,5,80 D4 00 18 00,00 00 00 01 94,714.61 KHz,-
2765,60.152759s,60.152838s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04,711.12 KHz,-
2766,60.152850s,60.152996s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00,711.75 KHz,-
2767,60.158009s,60.158055s,5,80 D4 00 18 00,00 00 00 01 94,716.53 KHz,-
2768,60.158067s,60.158146s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04,711.43 KHz,-
2769,60.158158s,60.158383s,21,90 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18,711.12 KHz,-
2770,60.158395s,60.158441s,5,00 D4 00 18 40,00 00 00 01 00,711.75 KHz,-
2771,60.158453s,60.158498s,5,00 D4 00 00 20,00 00 00 01 00,714.29 KHz,-
2772,60.158512s,60.158557s,5,80 D4 00 00 00,00 00 00 01 81,712.38 KHz,-
2773,60.158570s,60.158615s,5,00 D4 00 00 02,00 00 00 01 00,712.38 KHz,-
2774,60.158627s,60.158672s,5,80 D4 00 00 00,00 00 00 01 A1,712.38 KHz,-
2775,60.158685s,60.158730s,5,80 D4 00 18 00,00 00 00 01 44,719.11 KHz,-
2776,60.158742s,60.158821s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,714.29 KHz,-
2777,60.158833s,60.159585s,68,3F D4 00 24 80 02 00 00 00 41 00 00 01 82 00 00 00 09 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 0B 1A 6C 9C AD 4C 8A 56 34 FA 5A 1F B3 C6 82 B0 38 89 FE E2 6D 41 5A 08 CA 24 18 59 7D 04 64 A3,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,714.29 KHz,-
2778,60.159597s,60.159642s,5,00 D4 00 24 FA,00 00 00 01 00,714.29 KHz,-
2779,60.164655s,60.164700s,5,80 D4 00 18 00,00 00 00 01 84,718.78 KHz,-
2780,60.169713s,60.169758s,5,80 D4 00 18 00,00 00 00 01 84,720.73 KHz,-
2781,60.169770s,60.169815s,5,00 D4 00 18 20,00 00 00 01 00,714.29 KHz,-
2782,60.174828s,60.174873s,5,80 D4 00 18 00,00 00 00 01 94,720.73 KHz,-
2783,60.174885s,60.174964s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04,712.70 KHz,-
2784,60.174976s,60.175122s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00,714.29 KHz,-
2785,60.180135s,60.180180s,5,80 D4 00 18 00,00 00 00 01 94,718.14 KHz,-
2786,60.180193s,60.180271s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04,712.38 KHz,-
2787,60.180284s,60.180419s,13,88 D4 00 24 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 00 00 01 00 00,712.70 KHz,-
2788,60.180431s,60.180476s,5,00 D4 00 18 40,00 00 00 01 00,714.29 KHz,-
2789,60.180489s,60.180534s,5,00 D4 00 00 20,00 00 00 01 00,714.29 KHz,-
2790,60.241676s,60.241723s,5,80 D4 00 00 00,00 00 00 01 81,671.99 KHz,-
2791,60.241736s,60.241781s,5,00 D4 00 00 02,00 00 00 01 00,714.29 KHz,-
2792,60.241793s,60.241838s,5,80 D4 00 00 00,00 00 00 01 A1,714.93 KHz,-
2793,60.241851s,60.241896s,5,80 D4 00 18 00,00 00 00 01 44,717.82 KHz,-
2794,60.241909s,60.241988s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,715.25 KHz,-
2795,60.242001s,60.242281s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,714.93 KHz,-
2796,60.247294s,60.247339s,5,80 D4 00 18 00,00 00 00 01 84,703.61 KHz,-
2797,60.252352s,60.252397s,5,80 D4 00 18 00,00 00 00 01 84,714.93 KHz,-
2798,60.252410s,60.252455s,5,00 D4 00 18 20,00 00 00 01 00,715.25 KHz,-
2799,60.257468s,60.257513s,5,80 D4 00 18 00,00 00 00 01 94,705.47 KHz,-
2800,60.257526s,60.257605s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1F 00 04,713.02 KHz,-
2801,60.257618s,60.257764s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1F 00 00 00 00,711.75 KHz,-
2802,60.262777s,60.262823s,5,80 D4 00 18 00,00 00 00 01 94,696.87 KHz,-
2803,60.262835s,60.262914s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 15 00 04,713.02 KHz,-
2804,60.262926s,60.263196s,25,94 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF,711.75 KHz,-
2805,60.263208s,60.263254s,5,00 D4 00 18 40,00 00 00 01 00,714.93 KHz,-
2806,60.263266s,60.263311s,5,00 D4 00 00 20,00 00 00 01 00,717.49 KHz,-
2807,60.263325s,60.263370s,5,80 D4 00 00 00,00 00 00 01 81,714.61 KHz,-
2808,60.263383s,60.263428s,5,00 D4 00 00 02,00 00 00 01 00,711.75 KHz,-
2809,60.263440s,60.263485s,5,80 D4 00 00 00,00 00 00 01 A1,714.93 KHz,-
2810,60.263498s,60.263543s,5,80 D4 00 18 00,00 00 00 01 44,715.57 KHz,-
2811,60.263556s,60.263634s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,714.61 KHz,-
2812,60.263647s,60.263927s,26,15 D4 00 24 80 01 00 00 00 16 00 00 01 7A 00 00 00 06 00 00 01 12 00 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,713.02 KHz,-
2813,60.268940s,60.268986s,5,80 D4 00 18 00,00 00 00 01 84,696.87 KHz,-
2814,60.273999s,60.274044s,5,80 D4 00 18 00,00 00 00 01 84,715.57 KHz,-
2815,60.274057s,60.274102s,5,00 D4 00 18 20,00 00 00 01 00,713.02 KHz,-
2816,60.279115s,60.279160s,5,80 D4 00 18 00,00 00 00 01 94,705.47 KHz,-
2817,60.279173s,60.279252s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 1B 00 04,715.25 KHz,-
2818,60.279264s,60.279410s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 01 00 00 00 1B 00 00 00 00,711.75 KHz,-
2819,60.284424s,60.284469s,5,80 D4 00 18 00,00 00 00 01 94,697.78 KHz,-
2820,60.284481s,60.284560s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 11 00 04,714.93 KHz,-
2821,60.284573s,60.284797s,21,90 D4 00 24 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,00 00 00 01 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18,711.75 KHz,-
2822,60.284810s,60.284855s,5,00 D4 00 18 40,00 00 00 01 00,713.02 KHz,-
2823,60.284867s,60.284912s,5,00 D4 00 00 20,00 00 00 01 00,717.17 KHz,-
2824,60.284928s,60.284972s,5,80 D4 00 00 00,00 00 00 01 81,715.57 KHz,-
2825,60.284985s,60.285030s,5,00 D4 00 00 02,00 00 00 01 00,716.85 KHz,-
2826,60.285042s,60.285087s,5,80 D4 00 00 00,00 00 00 01 A1,715.89 KHz,-
2827,60.285099s,60.285144s,5,80 D4 00 18 00,00 00 00 01 44,713.02 KHz,-
2828,60.285157s,60.285235s,8,83 D4 00 18 00 00 00 00,00 00 00 01 44 FF 00 04,718.78 KHz,-
2829,60.285247s,60.285871s,57,34 D4 00 24 80 02 00 00 00 35 00 00 01 82 00 00 00 05 00 00 00 09 40 00 00 09 00 00 00 00 00 00 00 00 01 00 04 44 3A 6B 7B 82 B7 AF 56 4F 2E 39 3C D9 D5 A3 88 B7 FA 4A 98,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,717.82 KHz,-
2830,60.290884s,60.290929s,5,80 D4 00 18 00,00 00 00 01 84,701.76 KHz,-
2831,60.295943s,60.295988s,5,80 D4 00 18 00,00 00 00 01 84,713.02 KHz,-
2832,60.296000s,60.296045s,5,00 D4 00 18 20,00 00 00 01 00,719.43 KHz,-
2833,60.301058s,60.301103s,5,80 D4 00 18 00,00 00 00 01 94,705.47 KHz,-
2834,60.301116s,60.301194s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 13 00 04,716.53 KHz,-
2835,60.301206s,60.301351s,14,89 D4 00 24 00 00 00 00 00 00 00 00 00 00,00 00 00 01 80 02 00 00 00 13 00 00 00 00,717.49 KHz,-
2836,60.306364s,60.306410s,5,80 D4 00 18 00,00 00 00 01 94,686.11 KHz,-
2837,60.306422s,60.306501s,8,83 D4 00 18 00 00 00 00,00 00 00 01 94 09 00 04,719.43 KHz,-
2838,60.306513s,60.306647s,13,88 D4 00 24 00 00 00 00 00 00 00 00 00,00 00 00 01 00 00 00 00 00 00 01 00 00,717.49 KHz,-
2839,60.306659s,60.306704s,5,00 D4 00 18 40,00 00 00 01 00,717.49 KHz,-
2840,60.306717s,60.306762s,5,00 D4 00 00 20,00 00 00 01 00,711.75 KHz,-
